iso_ts,epoch_ts,inflight_requests,request_count,node_ready,node_not_ready
2026-03-21T18:00:52Z,1774116052,3,248920,1,0
2026-03-21T18:01:02Z,1774116062,0,248940,1,0
2026-03-21T18:01:11Z,1774116071,0,248957,1,0
2026-03-21T18:01:20Z,1774116080,2,248978,1,0
2026-03-21T18:01:29Z,1774116089,1,249002,1,0
2026-03-21T18:01:39Z,1774116099,1,249025,1,0
2026-03-21T18:01:48Z,1774116108,2,249041,1,0
2026-03-21T18:01:57Z,1774116117,2,249069,1,0
2026-03-21T18:02:05Z,1774116125,0,249089,1,0
2026-03-21T18:02:14Z,1774116135,1,249112,1,0
2026-03-21T18:02:23Z,1774116143,0,249140,1,0
2026-03-21T18:02:33Z,1774116153,0,249156,1,0
2026-03-21T18:02:41Z,1774116161,1,249179,1,0
2026-03-21T18:02:50Z,1774116170,3,249202,1,0
2026-03-21T18:02:59Z,1774116179,1,249231,1,0
2026-03-21T18:03:08Z,1774116188,2,249249,1,0
2026-03-21T18:03:17Z,1774116197,2,249268,1,0
2026-03-21T18:03:26Z,1774116206,0,249295,1,0
2026-03-21T18:03:35Z,1774116215,1,249317,1,0
2026-03-21T18:03:43Z,1774116223,0,249335,1,0
2026-03-21T18:03:52Z,1774116232,2,249360,1,0
2026-03-21T18:04:01Z,1774116241,0,249378,1,0
2026-03-21T18:04:10Z,1774116250,2,249397,1,0
2026-03-21T18:04:19Z,1774116259,1,249417,1,0
2026-03-21T18:04:28Z,1774116268,2,249479,1,0
2026-03-21T18:04:37Z,1774116277,1,249499,1,0
2026-03-21T18:04:47Z,1774116287,0,249520,1,0
2026-03-21T18:04:56Z,1774116296,2,249561,1,0
2026-03-21T18:05:05Z,1774116305,1,249573,1,0
2026-03-21T18:05:15Z,1774116315,0,249595,1,0
2026-03-21T18:05:24Z,1774116324,2,249617,1,0
2026-03-21T18:05:33Z,1774116333,0,249629,1,0
2026-03-21T18:05:43Z,1774116343,0,249644,1,0
2026-03-21T18:05:51Z,1774116351,2,249660,1,0
2026-03-21T18:06:00Z,1774116360,0,249675,1,0
2026-03-21T18:06:09Z,1774116369,1,249692,1,0
2026-03-21T18:06:18Z,1774116378,1,249709,1,0
2026-03-21T18:06:27Z,1774116387,9,249789,1,0
2026-03-21T18:06:37Z,1774116397,5,250082,1,0
2026-03-21T18:06:48Z,1774116408,4,250349,1,0
2026-03-21T18:06:58Z,1774116418,1,250375,1,0
2026-03-21T18:07:08Z,1774116428,4,250412,1,0
2026-03-21T18:07:18Z,1774116438,0,250484,1,0
2026-03-21T18:07:28Z,1774116448,1,250528,1,0
2026-03-21T18:47:23Z,1774118843,2,255390,1,0
2026-03-21T18:47:31Z,1774118851,0,255415,1,0
2026-03-21T18:47:40Z,1774118860,1,255447,1,0
2026-03-21T18:47:50Z,1774118870,0,255511,1,0
2026-03-21T18:47:59Z,1774118879,1,255542,1,0
2026-03-21T18:48:08Z,1774118888,0,255557,1,0
2026-03-21T18:48:16Z,1774118896,0,255577,1,0
2026-03-21T18:48:25Z,1774118905,1,255602,1,0
2026-03-21T18:48:34Z,1774118914,0,255624,1,0
2026-03-21T18:48:43Z,1774118923,2,255647,1,0
2026-03-21T18:48:52Z,1774118932,2,255664,1,0
2026-03-21T18:49:01Z,1774118941,1,255692,1,0
2026-03-21T18:49:10Z,1774118950,1,255706,1,0
2026-03-21T18:49:20Z,1774118960,0,255729,1,0
2026-03-21T18:49:29Z,1774118969,1,255750,1,0
2026-03-21T18:49:38Z,1774118978,2,255773,1,0
2026-03-21T18:49:47Z,1774118987,1,255791,1,0
2026-03-21T18:49:56Z,1774118996,2,255818,1,0
2026-03-21T18:50:05Z,1774119005,1,255837,1,0
2026-03-21T18:50:14Z,1774119014,2,255860,1,0
2026-03-21T18:50:23Z,1774119023,2,255883,1,0
2026-03-21T18:50:32Z,1774119032,1,255907,1,0
2026-03-21T18:50:41Z,1774119041,0,255929,1,0
2026-03-21T18:50:51Z,1774119051,1,255952,1,0
2026-03-21T18:50:59Z,1774119059,1,255981,1,0
2026-03-21T18:51:08Z,1774119068,2,255997,1,0
2026-03-21T18:51:17Z,1774119077,0,256017,1,0
2026-03-21T18:51:26Z,1774119086,1,256035,1,0
2026-03-21T18:51:34Z,1774119094,1,256063,1,0
2026-03-21T18:51:44Z,1774119104,0,256085,1,0
2026-03-21T18:51:53Z,1774119113,2,256105,1,0
2026-03-21T18:52:02Z,1774119122,0,256130,1,0
2026-03-21T18:52:11Z,1774119131,0,256151,1,0
2026-03-21T18:52:20Z,1774119140,1,256172,1,0
2026-03-21T18:52:29Z,1774119149,3,256203,1,0
2026-03-21T18:52:38Z,1774119158,0,256219,1,0
2026-03-21T18:52:47Z,1774119167,2,256250,1,0
2026-03-21T18:52:56Z,1774119176,1,256267,1,0
2026-03-21T18:53:04Z,1774119184,1,256284,1,0
2026-03-21T18:53:13Z,1774119193,2,256302,1,0
2026-03-21T18:53:22Z,1774119202,0,256318,1,0
2026-03-21T18:53:31Z,1774119211,1,256335,1,0
2026-03-21T18:53:40Z,1774119220,1,256344,1,0
2026-03-21T18:53:49Z,1774119229,1,256359,1,0
2026-03-21T18:53:58Z,1774119238,0,256382,1,0
2026-03-21T18:54:08Z,1774119248,1,256395,1,0
2026-03-21T18:54:16Z,1774119256,2,256458,1,0
2026-03-21T18:54:27Z,1774119267,6,256690,1,0
2026-03-21T18:54:40Z,1774119280,1,257016,1,0
2026-03-21T18:55:00Z,1774119300,1,257094,1,0
